encoder,layer,method,param,cv_mean,point,ci_lo,ci_hi,d_vs_xllex,d_lo,d_hi,d_verdict
chinese-roberta-wwm-ext,4,f_SUS,200,0.6543,0.7284,0.5559,0.8343,-0.0575,-0.2079,0.113,区分不开
chinese-roberta-wwm-ext,4,f_OT,N/A,0.6653,0.7221,0.5523,0.8248,-0.0566,-0.2068,0.1086,区分不开
chinese-roberta-wwm-ext,4,f_APD,N/A,0.6457,0.6946,0.4779,0.8287,-0.039,-0.2022,0.1338,区分不开
chinese-roberta-wwm-ext,4,f_PRT,N/A,0.5929,0.6228,0.3845,0.795,-0.079,-0.2093,0.0492,区分不开
chinese-roberta-wwm-ext,5,f_SUS,1000,0.6413,0.7121,0.4922,0.8436,-0.0738,-0.2614,0.1171,区分不开
chinese-roberta-wwm-ext,5,f_OT,N/A,0.6679,0.7178,0.547,0.8268,-0.0609,-0.2008,0.095,区分不开
chinese-roberta-wwm-ext,5,f_APD,N/A,0.6605,0.7107,0.4977,0.8398,-0.023,-0.1831,0.1587,区分不开
chinese-roberta-wwm-ext,5,f_PRT,N/A,0.556,0.5936,0.3553,0.7699,-0.1082,-0.2373,0.007,区分不开
chinese-roberta-wwm-ext,6,f_SUS,200,0.6153,0.6841,0.4817,0.8177,-0.1018,-0.237,0.0281,区分不开
chinese-roberta-wwm-ext,6,f_OT,N/A,0.6455,0.6855,0.4845,0.8136,-0.0933,-0.2298,0.0446,区分不开
chinese-roberta-wwm-ext,6,f_APD,N/A,0.6211,0.6499,0.422,0.8011,-0.0838,-0.2613,0.0995,区分不开
chinese-roberta-wwm-ext,6,f_PRT,N/A,0.6045,0.6328,0.4052,0.7952,-0.069,-0.1852,0.0332,区分不开
chinese-roberta-wwm-ext,7,f_SUS,100,0.6428,0.7079,0.4968,0.8375,-0.078,-0.228,0.0666,区分不开
chinese-roberta-wwm-ext,7,f_OT,N/A,0.6689,0.7088,0.4983,0.8356,-0.07,-0.2192,0.0721,区分不开
chinese-roberta-wwm-ext,7,f_APD,N/A,0.6469,0.6773,0.4378,0.8294,-0.0564,-0.2136,0.0986,区分不开
chinese-roberta-wwm-ext,7,f_PRT,N/A,0.6172,0.6567,0.4361,0.8072,-0.0451,-0.1661,0.07,区分不开
chinese-roberta-wwm-ext,8,f_SUS,200,0.6863,0.7432,0.5675,0.8593,-0.0427,-0.1707,0.0849,区分不开
